ticker,n_quotes,avg_iv,best_bucket,best_bucket_avg_pnl,best_bucket_avg_pnl_pct,best_bucket_avg_spread,best_bucket_avg_spread_pct,latest_price
LQDA,261,148%,1.5-2.0%,$1.49,3.90%,$1.50,3.93%,$38.20
LHX,520,34%,4.0-4.5%,$-0.45,-0.13%,$2.10,0.61%,$345.50
LEN,4853,46%,4.5-5.0%,$-1.71,-1.40%,$2.70,2.21%,$122.28
LI,4334,71%,4.0-4.5%,$0.03,0.19%,$1.38,7.48%,$18.46
LUNR,680,109%,1.5-2.0%,$0.23,1.40%,$1.00,6.20%,$16.13
LITE,2984,66%,1.0-1.5%,$1.40,0.25%,$34.35,6.10%,$562.74
LMND,4413,87%,3.0-3.5%,$-0.06,-0.10%,$6.70,10.51%,$63.76
LUMN,779,75%,2.5-3.0%,$-0.11,-1.33%,$0.26,3.10%,$8.39
LRCX,2165,54%,0.0-0.5%,$1.16,0.49%,$9.50,4.03%,$235.53
LW,283,39%,4.0-4.5%,$-0.50,-1.01%,$0.15,0.30%,$49.82
LNG,3079,36%,4.0-4.5%,$-0.12,-0.05%,$1.90,0.86%,$220.79
LLY,12155,41%,4.5-5.0%,$-1.72,-0.16%,$16.35,1.57%,$1040.00
LOW,6185,40%,4.5-5.0%,$-2.87,-1.00%,$3.21,1.12%,$287.39
LUV,5018,47%,4.5-5.0%,$-0.70,-1.38%,$0.71,1.39%,$51.11
LMT,5538,29%,4.5-5.0%,$-6.00,-0.92%,$3.55,0.54%,$652.58
LVS,5381,51%,4.5-5.0%,$-0.52,-0.91%,$0.94,1.64%,$57.15
M,1072,60%,4.0-4.5%,$-0.24,-1.12%,$0.68,3.14%,$21.63
LYFT,3382,67%,3.5-4.0%,$-0.00,-0.00%,$1.19,8.97%,$13.27
LULU,9709,48%,4.5-5.0%,$-0.11,-0.06%,$14.48,8.21%,$176.42
MANU,884,105%,4.5-5.0%,$0.14,0.83%,$1.35,7.74%,$17.44
MBLY,777,76%,4.5-5.0%,$0.06,0.66%,$0.46,5.01%,$9.19
MA,11765,37%,4.5-5.0%,$-0.39,-0.08%,$8.36,1.61%,$518.36
MAR,6269,42%,4.5-5.0%,$-0.37,-0.11%,$5.31,1.50%,$353.89
MARA,3325,115%,2.0-2.5%,$0.20,2.47%,$3.71,46.84%,$7.92
MCHP,2276,55%,4.5-5.0%,$-0.97,-1.23%,$1.90,2.42%,$78.56
MDLZ,1308,26%,4.5-5.0%,$-0.83,-1.32%,$0.30,0.48%,$62.59
MLCO,462,68%,0.0-0.5%,$0.12,2.23%,$0.30,5.42%,$5.53
MNKD,151,108%,0.5-1.0%,$0.07,1.24%,$0.00,0.00%,$5.66
MCD,5985,31%,4.5-5.0%,$-2.93,-0.89%,$1.58,0.48%,$327.58
MCK,5518,34%,4.5-5.0%,$-0.11,-0.01%,$9.20,0.98%,$934.75
MDT,2632,36%,4.5-5.0%,$-1.02,-1.02%,$0.87,0.87%,$99.49
MPW,212,67%,4.5-5.0%,$0.03,0.52%,$0.04,0.80%,$5.02
MO,847,31%,4.5-5.0%,$-0.46,-0.68%,$0.29,0.43%,$67.25
MGM,5259,50%,2.0-2.5%,$0.08,0.23%,$1.03,3.02%,$34.14
MMM,2521,40%,4.0-4.5%,$0.03,0.02%,$2.75,1.60%,$171.82
MP,963,81%,2.5-3.0%,$0.84,1.45%,$3.90,6.72%,$58.03
MDB,10318,66%,4.0-4.5%,$0.30,0.08%,$25.15,6.83%,$368.40
MSTY,63,75%,3.5-4.0%,$0.05,0.21%,$-1.15,-4.81%,$23.92
META,11047,46%,4.5-5.0%,$0.07,0.01%,$21.35,3.34%,$639.77
NB,65,133%,4.5-5.0%,$0.16,2.84%,$0.00,0.00%,$5.80
NAK,35,169%,0.5-1.0%,$0.15,6.94%,$-0.10,-4.63%,$2.16
MELI,20115,52%,3.5-4.0%,$-3.37,-0.17%,$71.35,3.59%,$1988.26
MRK,3956,34%,4.5-5.0%,$-1.78,-1.47%,$1.19,0.98%,$121.41
MSOS,1128,83%,4.0-4.5%,$0.13,3.32%,$1.11,28.03%,$3.96
MSTX,823,137%,1.0-1.5%,$0.84,34.22%,$3.30,134.69%,$2.45
MVIS,628,118%,2.0-2.5%,$0.25,33.24%,$2.28,304.00%,$0.75
MRNA,9357,69%,1.5-2.0%,$-0.24,-0.58%,$17.32,41.01%,$42.23
MS,4260,37%,4.5-5.0%,$-0.83,-0.48%,$2.66,1.55%,$171.15
MRVL,7040,59%,4.5-5.0%,$-0.12,-0.15%,$3.58,4.55%,$78.61
MT,2304,51%,4.0-4.5%,$-0.39,-0.63%,$0.53,0.86%,$61.51
MSTR,3838,89%,3.5-4.0%,$2.10,1.57%,$47.62,35.57%,$133.88
NBIS,1758,97%,2.5-3.0%,$0.45,0.45%,$4.50,4.59%,$98.01
NCLH,3245,63%,1.0-1.5%,$0.07,0.31%,$0.97,4.51%,$21.49
MSFT,11379,37%,4.0-4.5%,$-0.38,-0.09%,$11.02,2.75%,$400.41
NLY,144,27%,3.0-3.5%,$-0.04,-0.18%,$0.06,0.26%,$23.07
MU,9170,54%,3.5-4.0%,$0.11,0.03%,$15.90,3.86%,$411.66
NMAX,198,103%,3.5-4.0%,$0.45,8.27%,$1.00,18.52%,$5.40
NFE,384,113%,2.5-3.0%,$-0.16,-13.11%,$0.25,20.49%,$1.22
NEE,2273,40%,3.5-4.0%,$-0.65,-0.69%,$0.75,0.80%,$93.80
NEM,3726,46%,4.5-5.0%,$-0.44,-0.35%,$2.11,1.68%,$125.80
NOW,228,51%,2.5-3.0%,$-1.53,-1.43%,$3.35,3.13%,$107.08
NN,220,116%,3.5-4.0%,$0.30,1.86%,$0.30,1.86%,$16.09
NIO,2640,81%,3.0-3.5%,$0.06,1.30%,$3.18,64.24%,$4.95
NOK,200,39%,4.0-4.5%,$-0.05,-0.68%,$0.11,1.56%,$7.03
NNE,1413,112%,4.5-5.0%,$0.36,1.44%,$2.75,11.09%,$24.79
NET,8435,71%,0.0-0.5%,$0.53,0.27%,$21.20,10.82%,$195.85
NRG,906,48%,2.5-3.0%,$1.04,0.61%,$4.55,2.64%,$172.35
NKE,7396,42%,4.5-5.0%,$-1.98,-3.14%,$3.80,6.02%,$63.13
NVTS,228,109%,0.5-1.0%,$0.27,3.23%,$0.39,4.70%,$8.30
NU,917,55%,0.0-0.5%,$0.07,0.40%,$0.33,1.96%,$16.82
NTR,1295,36%,4.5-5.0%,$-0.96,-1.36%,$0.55,0.78%,$70.81
NSC,3300,35%,4.5-5.0%,$-3.79,-1.20%,$2.45,0.78%,$314.94
OPAD,8,152%,0.5-1.0%,$0.20,24.69%,$-0.70,-86.42%,$0.81
ONDS,185,123%,0.5-1.0%,$0.35,3.79%,$0.10,1.07%,$9.31
NTAP,3313,45%,4.5-5.0%,$-0.86,-0.84%,$4.40,4.30%,$102.42
NVAX,3967,113%,3.5-4.0%,$-0.05,-0.62%,$13.67,157.13%,$8.70
NVO,3359,47%,4.5-5.0%,$-0.80,-1.61%,$2.03,4.10%,$49.57
OKLO,1967,112%,3.5-4.0%,$0.37,0.56%,$7.55,11.49%,$65.69
NVDA,3822,57%,2.0-2.5%,$0.57,0.31%,$4.30,2.35%,$182.81
ONON,2699,60%,4.5-5.0%,$0.23,0.52%,$1.44,3.18%,$45.29
NXPI,5973,49%,4.5-5.0%,$-2.70,-1.10%,$5.10,2.09%,$244.43
ON,5768,57%,3.0-3.5%,$0.23,0.32%,$2.11,2.92%,$72.21
OWL,103,53%,3.5-4.0%,$0.01,0.12%,$0.05,0.41%,$12.06
OPEN,826,108%,1.0-1.5%,$0.24,5.37%,$1.89,42.47%,$4.45
PAA,92,35%,4.0-4.5%,$0.05,0.27%,$0.10,0.50%,$20.15
OSCR,486,86%,3.5-4.0%,$0.39,2.92%,$0.79,5.89%,$13.42
OUST,593,106%,1.0-1.5%,$0.17,0.93%,$2.70,14.38%,$18.77
OKTA,7621,60%,2.5-3.0%,$0.07,0.08%,$6.51,7.46%,$87.26
PBR,260,37%,4.5-5.0%,$-0.08,-0.52%,$0.08,0.53%,$15.19
PAAS,1125,54%,4.5-5.0%,$-0.10,-0.18%,$0.95,1.64%,$57.93
PANW,1372,48%,2.5-3.0%,$0.80,0.48%,$4.40,2.64%,$166.95
PATH,1195,65%,2.0-2.5%,$0.11,0.93%,$2.00,17.67%,$11.32
OXY,5068,48%,4.5-5.0%,$-0.40,-0.87%,$1.16,2.52%,$46.07
ORCL,7788,42%,4.5-5.0%,$-0.55,-0.34%,$7.86,4.91%,$160.14
PCG,1420,43%,3.0-3.5%,$0.04,0.23%,$0.18,0.99%,$18.16
PCT,502,114%,3.0-3.5%,$0.14,1.55%,$0.85,9.78%,$8.69
PFE,675,35%,4.0-4.5%,$-0.42,-1.54%,$0.22,0.80%,$27.58
PL,260,93%,4.0-4.5%,$0.33,1.49%,$0.45,2.01%,$22.42
PGR,1181,35%,4.0-4.5%,$-4.66,-2.28%,$3.70,1.81%,$204.53
PEP,2857,30%,4.5-5.0%,$-2.28,-1.37%,$0.85,0.51%,$165.94
PNFP,64,66%,2.0-2.5%,$0.25,0.26%,$-1.10,-1.14%,$96.13
PG,4054,29%,4.5-5.0%,$-2.03,-1.27%,$0.88,0.55%,$160.07
PONY,353,106%,3.5-4.0%,$0.31,2.23%,$1.03,7.32%,$14.07
POET,139,107%,0.5-1.0%,$0.24,4.30%,$0.40,7.17%,$5.58
PDD,8564,62%,4.0-4.5%,$-0.44,-0.44%,$6.56,6.54%,$100.28
PHM,3829,42%,4.5-5.0%,$-0.18,-0.13%,$2.00,1.40%,$142.56
PSKY,165,63%,2.0-2.5%,$0.23,2.27%,$0.44,4.26%,$10.32
PLUG,2219,91%,4.5-5.0%,$0.03,1.52%,$3.41,180.42%,$1.89
PSQH,34,134%,2.5-3.0%,$0.20,26.67%,$-0.15,-20.00%,$0.75
PINS,5212,63%,0.5-1.0%,$0.06,0.41%,$9.74,63.16%,$15.42
PM,1537,30%,4.0-4.5%,$-0.72,-0.39%,$1.80,0.96%,$187.51
PLTR,5035,70%,4.0-4.5%,$0.42,0.32%,$6.58,5.01%,$131.41
PNC,2111,35%,4.0-4.5%,$-1.88,-0.82%,$4.15,1.81%,$229.32
QSI,42,143%,2.5-3.0%,$0.09,9.09%,$-0.05,-5.05%,$0.99
RANI,10,375%,0.5-1.0%,$0.05,4.03%,$-0.25,-20.16%,$1.24
PPG,3934,38%,4.5-5.0%,$-2.72,-2.08%,$1.35,1.03%,$130.59
PSX,2862,36%,4.0-4.5%,$-1.68,-1.05%,$2.55,1.60%,$159.77
QXO,275,59%,4.0-4.5%,$0.19,0.71%,$0.15,0.55%,$27.07
QBTS,740,117%,2.0-2.5%,$1.15,5.83%,$1.56,7.93%,$19.67
RBRK,403,63%,4.0-4.5%,$0.26,0.48%,$0.80,1.47%,$54.55
QUBT,553,128%,2.0-2.5%,$0.26,3.08%,$0.70,8.26%,$8.47
PTON,3169,80%,4.5-5.0%,$-0.32,-7.56%,$5.44,128.00%,$4.25
QS,2122,96%,3.5-4.0%,$0.04,0.46%,$4.21,54.46%,$7.73
RCAT,386,124%,2.5-3.0%,$0.35,3.10%,$0.30,2.64%,$11.37
RDW,203,125%,0.0-0.5%,$0.46,5.68%,$0.65,8.10%,$8.02
QCOM,7898,47%,4.5-5.0%,$-2.62,-1.86%,$4.07,2.89%,$140.70
PYPL,7069,50%,4.5-5.0%,$-0.11,-0.28%,$4.88,12.11%,$40.29
REPL,80,158%,1.0-1.5%,$0.63,7.88%,$1.75,21.96%,$7.97
RBLX,7416,70%,3.0-3.5%,$0.19,0.30%,$6.51,10.31%,$63.17
RCL,8419,56%,3.0-3.5%,$-0.35,-0.11%,$7.00,2.19%,$319.61
RDDT,3358,80%,0.5-1.0%,$1.05,0.75%,$13.48,9.65%,$139.65
RGTI,792,124%,2.5-3.0%,$0.54,3.33%,$2.70,16.78%,$16.09
RILY,896,149%,3.0-3.5%,$0.22,3.16%,$2.90,42.52%,$6.82
RR,64,135%,4.0-4.5%,$0.40,13.42%,$-0.05,-1.68%,$2.98
RIG,707,73%,3.0-3.5%,$0.06,0.89%,$0.14,2.14%,$6.54
RKLB,1661,92%,0.0-0.5%,$0.74,1.10%,$4.35,6.45%,$67.44
RIOT,2638,112%,4.0-4.5%,$0.21,1.40%,$5.92,38.90%,$15.22
RIVN,3193,86%,4.0-4.5%,$-0.21,-1.16%,$2.98,16.81%,$17.73
RKT,1316,69%,4.0-4.5%,$-0.07,-0.36%,$0.86,4.60%,$18.68
REGN,7472,39%,3.5-4.0%,$-1.40,-0.17%,$28.30,3.52%,$803.17
RZLV,51,151%,2.0-2.5%,$0.80,35.24%,$-0.10,-4.41%,$2.27
RH,9146,62%,3.5-4.0%,$-0.02,-0.01%,$21.70,10.58%,$205.06
RNG,3873,68%,4.5-5.0%,$-1.22,-4.03%,$7.30,24.18%,$30.19
QQQ,58796,33%,4.5-5.0%,$-0.05,-0.01%,$7.43,1.23%,$601.92
RSP,1141,25%,4.0-4.5%,$-1.89,-0.93%,$0.65,0.32%,$202.87
RUM,590,103%,1.0-1.5%,$0.25,4.21%,$1.20,20.13%,$5.96
RXRX,228,97%,1.5-2.0%,$0.35,10.03%,$0.10,2.87%,$3.49
ROKU,8305,71%,2.0-2.5%,$-0.22,-0.24%,$26.18,29.07%,$90.06
ROST,4894,43%,4.5-5.0%,$-0.44,-0.22%,$7.95,4.04%,$196.54
RUN,1995,90%,4.0-4.5%,$0.14,0.73%,$0.67,3.51%,$19.09
SBET,300,111%,1.5-2.0%,$0.10,1.39%,$1.43,20.88%,$6.85
SAP,557,39%,4.0-4.5%,$-0.61,-0.30%,$0.90,0.44%,$204.53
S,1161,64%,0.5-1.0%,$0.23,1.63%,$2.45,17.66%,$13.87
RTX,4733,35%,4.0-4.5%,$-1.08,-0.54%,$1.28,0.64%,$200.06
SATS,623,76%,0.5-1.0%,$0.90,0.80%,$4.45,3.93%,$113.15
SCHD,103,16%,3.5-4.0%,$0.20,0.63%,$-0.10,-0.32%,$31.61
SCCO,267,55%,4.0-4.5%,$1.18,0.60%,$2.75,1.39%,$198.00
SAVA,3262,125%,1.0-1.5%,$-0.31,-14.84%,$8.29,396.65%,$2.09
SERV,546,119%,3.0-3.5%,$0.10,1.07%,$0.20,2.09%,$9.56
SG,309,84%,2.5-3.0%,$0.19,3.74%,$0.70,13.62%,$5.14
SBUX,5070,39%,4.5-5.0%,$-1.53,-1.63%,$2.04,2.18%,$93.79
SFIX,1723,88%,4.5-5.0%,$-0.29,-7.98%,$3.11,85.21%,$3.65
SIRI,683,49%,1.5-2.0%,$-0.30,-1.42%,$0.40,1.88%,$21.29
SEDG,3964,83%,4.0-4.5%,$-0.61,-1.72%,$8.93,25.13%,$35.53
SHEL,1052,27%,4.5-5.0%,$-0.70,-0.88%,$0.40,0.51%,$78.77
SLS,35,143%,1.0-1.5%,$0.70,19.50%,$-0.55,-15.32%,$3.59
SCHW,6423,43%,4.5-5.0%,$-0.50,-0.54%,$1.46,1.56%,$93.72
SE,7976,66%,4.0-4.5%,$-0.19,-0.18%,$8.94,8.38%,$106.74
SKYT,414,108%,4.5-5.0%,$0.26,0.88%,$0.95,3.25%,$29.23
SHAK,4793,57%,3.5-4.0%,$-0.05,-0.05%,$4.00,4.54%,$88.15
SHOP,5757,61%,0.0-0.5%,$0.13,0.11%,$6.64,5.89%,$112.70
SIG,5478,68%,4.5-5.0%,$-0.64,-0.71%,$3.15,3.50%,$90.09
SLB,4646,49%,4.5-5.0%,$-0.82,-1.62%,$0.75,1.49%,$50.39
SMCI,1945,94%,2.0-2.5%,$0.20,0.65%,$5.40,17.68%,$30.54
SMMT,509,125%,2.0-2.5%,$0.20,1.36%,$1.65,11.03%,$14.96
SNDK,1039,109%,0.5-1.0%,$14.90,2.38%,$33.60,5.36%,$626.56
SMR,1361,111%,0.0-0.5%,$0.17,1.16%,$2.35,16.42%,$14.31
SOC,196,144%,0.0-0.5%,$0.68,7.59%,$0.86,9.67%,$8.89
SLV,3936,43%,4.5-5.0%,$-0.05,-0.08%,$4.78,6.86%,$69.72
SONY,313,41%,1.5-2.0%,$0.13,0.55%,$0.45,1.94%,$23.19
SNAP,3654,72%,2.0-2.5%,$0.09,1.95%,$4.31,89.23%,$4.83
SPCE,285,112%,2.0-2.5%,$0.20,7.73%,$0.35,13.67%,$2.56
SOUN,734,109%,3.0-3.5%,$0.20,2.66%,$1.34,17.96%,$7.46
SPXU,80,42%,3.5-4.0%,$0.38,0.76%,$0.70,1.40%,$50.14
SO,1128,25%,4.5-5.0%,$-0.47,-0.50%,$0.20,0.21%,$94.95
SOFI,2116,74%,2.5-3.0%,$0.19,0.98%,$0.98,5.00%,$19.61
STUB,70,106%,2.0-2.5%,$0.30,3.25%,$-0.20,-2.17%,$9.23
SNPS,1928,47%,3.5-4.0%,$-2.88,-0.66%,$10.60,2.43%,$437.09
SQQQ,264,56%,0.0-0.5%,$0.79,1.09%,$3.75,5.16%,$72.73
SOXX,1196,48%,4.0-4.5%,$-0.03,-0.01%,$3.95,1.11%,$354.66
SSO,161,34%,1.0-1.5%,$0.31,0.54%,$0.20,0.35%,$57.37
SNOW,10153,63%,1.0-1.5%,$0.83,0.46%,$14.43,7.92%,$182.29
STLA,144,50%,3.5-4.0%,$-0.10,-1.30%,$0.10,1.29%,$7.75
TE,39,124%,2.0-2.5%,$0.27,4.41%,$0.20,3.27%,$6.12
SPGI,4618,33%,4.0-4.5%,$-1.82,-0.45%,$10.10,2.47%,$409.54
SRPT,5266,73%,3.0-3.5%,$-0.05,-0.25%,$14.70,82.63%,$17.79
SPOT,10858,55%,0.5-1.0%,$0.73,0.16%,$30.65,6.69%,$458.34
STX,3678,53%,4.0-4.5%,$0.05,0.01%,$16.28,3.82%,$425.99
T,840,33%,4.5-5.0%,$-0.10,-0.34%,$0.29,1.01%,$28.69
SYM,1814,91%,3.0-3.5%,$0.59,1.07%,$4.05,7.37%,$54.95
TEM,1863,96%,1.0-1.5%,$0.27,0.53%,$4.80,9.24%,$51.95
SU,1931,41%,3.5-4.0%,$-0.39,-0.69%,$0.32,0.57%,$55.99
STZ,4627,34%,4.5-5.0%,$-3.50,-2.35%,$3.90,2.61%,$149.30
TIGR,395,80%,0.0-0.5%,$0.37,4.64%,$1.75,21.79%,$8.03
TEVA,1555,54%,0.0-0.5%,$0.09,0.25%,$1.00,2.94%,$33.98
TER,601,58%,0.5-1.0%,$2.25,0.72%,$12.85,4.08%,$314.66
TLRY,59,115%,2.5-3.0%,$0.37,4.86%,$0.53,7.06%,$7.51
TDOC,4524,70%,4.0-4.5%,$0.08,1.70%,$5.21,112.04%,$4.65
TECK,3584,55%,3.5-4.0%,$-0.35,-0.60%,$1.28,2.17%,$58.91
TMQ,39,122%,0.5-1.0%,$0.25,5.92%,$-0.15,-3.55%,$4.22
TGT,4260,41%,4.5-5.0%,$-2.34,-2.02%,$3.76,3.25%,$115.76
TEAM,7658,63%,4.5-5.0%,$-0.00,-0.01%,$19.25,22.81%,$84.38
TMC,218,136%,2.5-3.0%,$0.12,1.97%,$0.30,4.93%,$6.09
TLN,1005,59%,0.0-0.5%,$3.02,0.80%,$12.70,3.37%,$376.70
TJX,5287,36%,4.5-5.0%,$-0.48,-0.31%,$0.97,0.63%,$154.46
TSLQ,36,90%,2.5-3.0%,$0.85,4.21%,$-0.15,-0.74%,$20.21
TQQQ,475,68%,1.0-1.5%,$0.58,1.20%,$1.21,2.50%,$48.47
TSSI,163,122%,4.5-5.0%,$0.09,1.07%,$0.50,6.14%,$8.14
TOST,2238,65%,0.5-1.0%,$0.21,0.79%,$3.69,13.50%,$27.33
TSCO,491,37%,4.0-4.5%,$0.11,0.19%,$0.50,0.91%,$55.03
TPR,1746,47%,4.5-5.0%,$-0.07,-0.05%,$2.60,1.69%,$153.80
TMO,5861,36%,4.0-4.5%,$-0.20,-0.04%,$12.60,2.50%,$504.82
TMUS,7209,38%,4.5-5.0%,$-0.34,-0.16%,$2.67,1.22%,$219.50
UAMY,113,142%,0.5-1.0%,$0.55,7.22%,$0.00,0.00%,$7.62
TRIP,2042,65%,3.5-4.0%,$0.05,0.53%,$1.18,12.28%,$9.61
ULTY,18,39%,3.5-4.0%,$0.05,0.15%,$-0.65,-1.89%,$34.45
TXRH,813,46%,0.0-0.5%,$0.05,0.03%,$4.40,2.43%,$180.90
TSM,9039,46%,4.0-4.5%,$-1.35,-0.37%,$4.60,1.26%,$366.36
TXN,3369,40%,4.5-5.0%,$-2.87,-1.27%,$2.73,1.21%,$226.16
TTD,6870,65%,3.0-3.5%,$-0.05,-0.20%,$5.82,22.55%,$25.81
UEC,441,81%,2.5-3.0%,$0.07,0.45%,$0.40,2.58%,$15.52
UMAC,224,120%,3.0-3.5%,$0.29,2.42%,$0.35,2.94%,$11.92
TSLA,7861,62%,2.5-3.0%,$1.60,0.38%,$12.97,3.11%,$417.44
U,4711,79%,4.0-4.5%,$-0.23,-1.22%,$4.11,22.00%,$18.68
TTWO,7334,47%,0.5-1.0%,$0.49,0.26%,$13.66,7.05%,$193.67
UAL,6841,56%,3.0-3.5%,$0.17,0.16%,$3.85,3.52%,$109.29
TWLO,7732,65%,0.0-0.5%,$-0.17,-0.15%,$19.18,16.97%,$113.00
UBER,6382,52%,3.0-3.5%,$0.18,0.25%,$2.15,3.07%,$69.99
UNG,893,66%,3.0-3.5%,$0.01,0.10%,$0.40,3.22%,$12.44
UPXI,64,169%,2.5-3.0%,$0.47,61.04%,$-0.12,-15.58%,$0.77
VERU,1,87%,0.5-1.0%,$-0.23,-10.04%,$-0.15,-6.55%,$2.29
USAR,456,134%,4.5-5.0%,$0.44,2.29%,$1.80,9.28%,$19.40
ULTA,9022,44%,4.5-5.0%,$1.05,0.15%,$21.90,3.20%,$683.40
UWMC,59,67%,0.5-1.0%,$0.17,3.41%,$0.15,3.07%,$4.89
UPS,2227,38%,4.5-5.0%,$-2.54,-2.13%,$1.69,1.42%,$119.24
UPRO,6306,59%,2.0-2.5%,$-0.18,-0.16%,$3.15,2.78%,$113.51
UNP,3506,33%,4.0-4.5%,$-3.46,-1.33%,$2.85,1.09%,$260.68
UUUU,453,106%,0.5-1.0%,$0.57,2.76%,$2.60,12.55%,$20.72
URA,1176,49%,4.0-4.5%,$-0.73,-1.41%,$0.80,1.54%,$51.91
VALE,278,38%,4.5-5.0%,$-0.04,-0.23%,$0.07,0.42%,$16.65
VISN,10,67%,0.5-1.0%,$0.30,1.56%,$-2.25,-11.72%,$19.20
UNH,10852,37%,4.5-5.0%,$-6.21,-2.12%,$8.51,2.90%,$293.19
UPST,6108,100%,0.0-0.5%,$0.07,0.23%,$22.81,74.35%,$30.68
USB,2150,37%,4.5-5.0%,$-0.40,-0.69%,$0.77,1.33%,$57.69
URBN,2620,61%,1.5-2.0%,$0.17,0.24%,$2.80,3.99%,$70.18
VG,149,88%,3.5-4.0%,$0.20,2.09%,$0.45,4.81%,$9.36
VFC,1423,64%,2.0-2.5%,$-0.27,-1.34%,$0.62,3.05%,$20.30
USO,8098,44%,2.5-3.0%,$0.18,0.24%,$2.19,2.87%,$76.22
URI,9756,47%,3.5-4.0%,$-2.78,-0.32%,$30.95,3.56%,$869.57
VOD,93,32%,4.0-4.5%,$0.04,0.24%,$0.03,0.19%,$15.57
V,7885,36%,4.5-5.0%,$-0.19,-0.06%,$5.53,1.76%,$314.08
VKTX,1852,100%,4.0-4.5%,$0.04,0.15%,$4.85,16.72%,$29.00
WEN,56,50%,4.0-4.5%,$0.13,1.74%,$-0.10,-1.34%,$7.48
VZ,810,28%,4.5-5.0%,$-0.44,-0.90%,$0.26,0.53%,$49.01
VXX,1283,66%,0.0-0.5%,$-0.13,-0.45%,$5.42,18.53%,$29.25
WBD,1426,61%,2.0-2.5%,$0.08,0.29%,$0.47,1.68%,$27.99
VLO,5348,44%,4.5-5.0%,$-1.63,-0.82%,$1.71,0.85%,$200.17
VRT,3539,65%,3.0-3.5%,$0.46,0.19%,$6.25,2.66%,$234.53
VST,3216,66%,1.0-1.5%,$0.70,0.41%,$7.15,4.17%,$171.49
WDC,1180,70%,0.5-1.0%,$2.22,0.79%,$17.06,6.06%,$281.58
VRTX,4493,40%,1.0-1.5%,$-0.24,-0.05%,$18.35,3.73%,$491.47
WGS,1563,98%,4.5-5.0%,$0.44,0.49%,$13.70,15.20%,$90.15
WWR,11,176%,2.0-2.5%,$0.50,56.82%,$-0.05,-5.68%,$0.88
WOOF,626,66%,0.5-1.0%,$0.08,3.19%,$0.40,15.94%,$2.51
WMB,701,31%,4.5-5.0%,$-0.21,-0.29%,$0.40,0.55%,$72.28
W,7892,82%,2.0-2.5%,$0.34,0.41%,$14.65,17.78%,$82.39
WDAY,7394,50%,2.5-3.0%,$0.62,0.43%,$9.98,6.91%,$144.42
WMT,2316,34%,4.0-4.5%,$0.11,0.08%,$1.57,1.17%,$133.89
WRBY,226,78%,3.0-3.5%,$0.14,0.65%,$0.35,1.56%,$22.46
WFC,4279,39%,4.5-5.0%,$-0.58,-0.66%,$1.74,2.00%,$86.98
XLB,22,55%,0.0-0.5%,$0.16,0.30%,$-0.41,-0.77%,$53.31
WULF,473,112%,2.0-2.5%,$0.29,1.78%,$0.52,3.20%,$16.26
XLE,253,33%,0.0-0.5%,$0.13,0.23%,$0.09,0.17%,$54.35
WPM,2784,41%,4.5-5.0%,$-0.22,-0.15%,$2.30,1.58%,$145.90
XLK,172,29%,1.5-2.0%,$0.55,0.39%,$0.94,0.67%,$139.56
XLU,96,25%,2.5-3.0%,$0.05,0.11%,$-0.07,-0.15%,$46.50
XLY,43,54%,2.5-3.0%,$0.32,0.28%,$0.10,0.09%,$116.18
XLC,1300,39%,4.0-4.5%,$-0.40,-0.35%,$0.60,0.52%,$114.58
XHB,2625,52%,4.5-5.0%,$-0.27,-0.22%,$0.66,0.54%,$121.36
WYNN,7676,52%,4.5-5.0%,$-0.38,-0.34%,$2.79,2.46%,$113.39
XLF,3286,30%,4.5-5.0%,$-0.34,-0.66%,$0.63,1.22%,$51.65
XBI,9256,41%,4.5-5.0%,$0.12,0.09%,$1.28,1.04%,$122.86
XP,736,63%,3.5-4.0%,$-0.32,-1.63%,$0.50,2.52%,$19.87
XYZ,1340,61%,4.0-4.5%,$0.05,0.10%,$2.13,4.28%,$49.80
XOM,3719,32%,4.0-4.5%,$-1.61,-1.08%,$1.58,1.06%,$148.45
XLP,1746,28%,4.5-5.0%,$-0.48,-0.54%,$0.07,0.08%,$89.51
ZETA,606,85%,0.5-1.0%,$0.13,0.87%,$1.05,6.79%,$15.46
ZIM,394,70%,1.0-1.5%,$0.41,1.83%,$0.50,2.25%,$22.20
XPEV,3459,81%,4.0-4.5%,$-0.04,-0.24%,$1.70,9.48%,$17.94
XLI,3037,35%,4.5-5.0%,$-1.51,-0.87%,$0.34,0.20%,$174.17
XLV,4514,25%,4.5-5.0%,$-1.61,-1.02%,$0.32,0.20%,$157.67
XRT,2861,53%,4.0-4.5%,$-1.24,-1.42%,$0.42,0.48%,$87.84
XOP,8537,41%,4.5-5.0%,$-1.89,-1.27%,$2.18,1.47%,$147.89
ZM,7117,58%,0.5-1.0%,$0.41,0.44%,$22.15,23.92%,$92.60
ZS,8718,61%,1.0-1.5%,$0.49,0.27%,$14.03,7.89%,$177.72
